r,L,M,S
427.6,0.0255338,0.0343868,0.74226
427.7,0.0256405,0.0345858,0.744884
427.8,0.0257477,0.0347858,0.747503
427.9,0.0258552,0.0349868,0.750118
428,0.0259631,0.0351889,0.752726
428.1,0.0260715,0.035392,0.755328
428.2,0.0261802,0.0355962,0.757922
428.3,0.0262892,0.0358015,0.760509
428.4,0.0263986,0.0360078,0.763087
428.5,0.0265084,0.0362152,0.765655
428.6,0.0266185,0.0364237,0.768214
428.7,0.0267289,0.0366332,0.770762
428.8,0.0268396,0.0368438,0.773298
428.9,0.0269506,0.0370555,0.775822
429,0.0270619,0.0372683,0.778333
429.1,0.0271734,0.0374822,0.78083
429.2,0.0272853,0.0376972,0.783313
429.3,0.0273973,0.0379133,0.78578
429.4,0.0275097,0.0381304,0.788231
429.5,0.0276222,0.0383487,0.790665
429.6,0.0277349,0.0385681,0.793082
429.7,0.0278479,0.0387885,0.79548
429.8,0.027961,0.0390101,0.797859
429.9,0.0280743,0.0392328,0.800217
430,0.0281877,0.0394566,0.802555
430.1,0.0283013,0.0396815,0.804871
430.2,0.028415,0.0399076,0.807166
430.3,0.0285289,0.0401347,0.80944
430.4,0.0286429,0.0403629,0.811694
430.5,0.0287571,0.0405922,0.813928
430.6,0.0288714,0.0408226,0.816142
430.7,0.0289859,0.041054,0.818338
430.8,0.0291006,0.0412865,0.820516
430.9,0.0292154,0.04152,0.822675
431,0.0293303,0.0417546,0.824818
431.1,0.0294455,0.0419902,0.826944
431.2,0.0295608,0.0422268,0.829054
431.3,0.0296763,0.0424644,0.831148
431.4,0.0297919,0.0427029,0.833227
431.5,0.0299078,0.0429425,0.835292
431.6,0.0300238,0.043183,0.837343
431.7,0.03014,0.0434245,0.839381
431.8,0.0302564,0.0436668,0.841407
431.9,0.030373,0.0439102,0.84342
432,0.0304898,0.0441544,0.845422
432.1,0.0306068,0.0443995,0.847414
432.2,0.030724,0.0446455,0.849395
432.3,0.0308414,0.0448924,0.851367
432.4,0.030959,0.0451401,0.85333
432.5,0.0310769,0.0453886,0.855285
432.6,0.0311949,0.045638,0.857232
432.7,0.0313132,0.0458881,0.859173
432.8,0.0314317,0.0461391,0.861108
