r,L,M,S
433.3,0.0460738,0.068101,0.833998
433.4,0.0462679,0.0685022,0.83612
433.5,0.0464622,0.0689044,0.838237
433.6,0.0466569,0.0693075,0.84035
433.7,0.0468518,0.0697115,0.84246
433.8,0.047047,0.0701163,0.844568
433.9,0.0472426,0.070522,0.846674
434.0,0.0474385,0.0709285,0.84878
434.1,0.0476347,0.0713357,0.850885
434.2,0.0478312,0.0717436,0.852992
434.3,0.0480281,0.0721523,0.855101
434.4,0.0482254,0.0725616,0.857212
434.5,0.048423,0.0729716,0.859327
434.6,0.0486211,0.0733822,0.861446
434.7,0.0488195,0.0737933,0.863571
434.8,0.0490183,0.074205,0.865701
434.9,0.0492175,0.0746172,0.867839
435.0,0.0494172,0.0750299,0.869984
435.1,0.0496173,0.075443,0.872138
435.2,0.0498178,0.0758565,0.8743
435.3,0.0500187,0.0762704,0.876468
435.4,0.05022,0.0766846,0.878643
435.5,0.0504216,0.0770992,0.880822
435.6,0.0506236,0.0775142,0.883006
435.7,0.0508258,0.0779294,0.885193
435.8,0.0510284,0.078345,0.887381
435.9,0.0512312,0.0787608,0.889571
436.0,0.0514343,0.0791769,0.891761
436.1,0.0516376,0.0795932,0.893951
436.2,0.0518411,0.0800097,0.896138
436.3,0.0520448,0.0804263,0.898322
436.4,0.0522486,0.0808432,0.900503
436.5,0.0524526,0.0812601,0.902678
436.6,0.0526567,0.0816772,0.904848
436.7,0.0528608,0.0820944,0.90701
436.8,0.053065,0.0825117,0.909165
436.9,0.0532693,0.082929,0.91131
437.0,0.0534735,0.0833463,0.913444
437.1,0.0536777,0.0837636,0.915567
437.2,0.0538819,0.0841809,0.917678
437.3,0.054086,0.0845982,0.919775
437.4,0.05429,0.0850154,0.921857
437.5,0.0544938,0.0854325,0.923924
437.6,0.0546975,0.0858495,0.925973
437.7,0.054901,0.0862664,0.928004
437.8,0.0551043,0.0866831,0.930016
437.9,0.0553074,0.0870997,0.932007
438.0,0.0555102,0.087516,0.933977
438.1,0.0557127,0.0879321,0.935923
438.2,0.0559148,0.0883479,0.937846
438.3,0.0561166,0.0887635,0.939744
438.4,0.056318,0.0891787,0.941615
438.5,0.056519,0.0895936,0.943458
438.6,0.0567196,0.0900082,0.945272
438.7,0.0569196,0.0904224,0.947057
438.8,0.0571192,0.0908362,0.94881
438.9,0.0573182,0.0912495,0.950531
439.0,0.0575166,0.0916625,0.952218
439.1,0.0577144,0.0920749,0.95387
439.2,0.0579116,0.0924868,0.955485
439.3,0.0581081,0.0928982,0.957064
439.4,0.0583039,0.0933091,0.958603
439.5,0.0584989,0.0937193,0.960103
439.6,0.0586932,0.094129,0.961562
439.7,0.0588867,0.0945381,0.962978
439.8,0.0590793,0.0949464,0.96435
439.9,0.059271,0.0953542,0.965678
440.0,0.0594619,0.0957612,0.96696
440.1,0.0596518,0.0961674,0.968194
440.2,0.0598408,0.096573,0.969382
440.3,0.0600289,0.096978,0.970525
440.4,0.0602161,0.0973823,0.971623
440.5,0.0604026,0.097786,0.972678
440.6,0.0605883,0.0981892,0.973691
440.7,0.0607732,0.098592,0.974662
440.8,0.0609575,0.0989942,0.975594
440.9,0.0611411,0.0993961,0.976486
441.0,0.061324,0.0997977,0.97734
441.1,0.0615064,0.100199,0.978157
441.2,0.0616883,0.1006,0.978938
441.3,0.0618697,0.101001,0.979684
441.4,0.0620506,0.101401,0.980397
441.5,0.0622311,0.101802,0.981077
441.6,0.0624112,0.102202,0.981726
441.7,0.062591,0.102603,0.982344
441.8,0.0627705,0.103003,0.982933
441.9,0.0629497,0.103404,0.983494
442.0,0.0631288,0.103804,0.984028
442.1,0.0633077,0.104205,0.984537
442.2,0.0634865,0.104607,0.985021
442.3,0.0636653,0.105008,0.985481
442.4,0.063844,0.10541,0.985919
442.5,0.0640228,0.105813,0.986336
442.6,0.0642016,0.106216,0.986733
442.7,0.0643806,0.106619,0.987111
442.8,0.0645598,0.107023,0.987471
442.9,0.0647392,0.107428,0.987816
443.0,0.0649189,0.107834,0.988144
443.1,0.0650989,0.10824,0.988459
443.2,0.0652793,0.108648,0.988761
443.3,0.0654601,0.109056,0.989051
443.4,0.0656414,0.109466,0.98933
443.5,0.0658233,0.109876,0.9896
443.6,0.0660057,0.110288,0.989862
443.7,0.0661888,0.110701,0.990117
443.8,0.0663726,0.111115,0.990366
443.9,0.0665572,0.111531,0.99061
444.0,0.0667425,0.111948,0.990851
444.1,0.0669288,0.112367,0.99109
444.2,0.0671159,0.112788,0.991328
444.3,0.0673041,0.11321,0.991566
444.4,0.0674933,0.113634,0.991805
444.5,0.0676836,0.11406,0.992047
444.6,0.067875,0.114487,0.992293
444.7,0.0680677,0.114917,0.992543
444.8,0.0682617,0.115349,0.9928
444.9,0.068457,0.115784,0.993064
445.0,0.0686538,0.11622,0.993336
445.1,0.0688519,0.116659,0.993618
445.2,0.0690516,0.1171,0.993909
445.3,0.0692526,0.117544,0.994206
445.4,0.069455,0.11799,0.994509
445.5,0.0696587,0.118437,0.994817
445.6,0.0698638,0.118887,0.995127
445.7,0.0700701,0.119339,0.99544
445.8,0.0702776,0.119793,0.995752
445.9,0.0704864,0.120249,0.996064
446.0,0.0706963,0.120706,0.996373
446.1,0.0709073,0.121166,0.996679
446.2,0.0711194,0.121627,0.996979
446.3,0.0713326,0.122089,0.997273
446.4,0.0715467,0.122553,0.997559
446.5,0.0717619,0.123018,0.997837
446.6,0.0719779,0.123485,0.998103
446.7,0.0721949,0.123953,0.998358
446.8,0.0724127,0.124422,0.9986
446.9,0.0726314,0.124892,0.998827
447.0,0.0728508,0.125363,0.999038
447.1,0.0730709,0.125835,0.999232
447.2,0.0732917,0.126308,0.999408
447.3,0.0735132,0.126782,0.999563
447.4,0.0737353,0.127256,0.999697
447.5,0.0739579,0.127731,0.999808
447.6,0.074181,0.128207,0.999896
447.7,0.0744046,0.128682,0.999958
447.8,0.0746287,0.129158,0.999993
447.9,0.0748531,0.129635,1.0
448.0,0.0750778,0.130111,0.999978
448.1,0.0753028,0.130587,0.999925
448.2,0.0755281,0.131063,0.999839
448.3,0.0757535,0.131539,0.999721
448.4,0.0759791,0.132015,0.999568
448.5,0.0762047,0.13249,0.999378
448.6,0.0764304,0.132965,0.999151
448.7,0.0766561,0.133439,0.998886
448.8,0.0768817,0.133912,0.99858
448.9,0.0771072,0.134385,0.998233
449.0,0.0773325,0.134856,0.997844
449.1,0.0775577,0.135327,0.99741
449.2,0.0777825,0.135796,0.996932
449.3,0.078007,0.136264,0.996407
449.4,0.0782311,0.13673,0.995834
449.5,0.0784548,0.137195,0.995213
449.6,0.078678,0.137659,0.994541
449.7,0.0789007,0.13812,0.993818
449.8,0.0791227,0.13858,0.993043
449.9,0.0793441,0.139038,0.992213
450.0,0.0795647,0.139493,0.991329
450.1,0.0797846,0.139947,0.990389
450.2,0.0800038,0.140398,0.989394
450.3,0.0802223,0.140847,0.988347
450.4,0.0804401,0.141294,0.987247
450.5,0.0806574,0.14174,0.986098
450.6,0.0808741,0.142183,0.984901
450.7,0.0810904,0.142625,0.983656
450.8,0.0813062,0.143066,0.982366
450.9,0.0815217,0.143505,0.981033
451.0,0.0817368,0.143943,0.979657
451.1,0.0819517,0.14438,0.97824
451.2,0.0821663,0.144816,0.976784
451.3,0.0823808,0.145251,0.97529
451.4,0.0825952,0.145685,0.973761
451.5,0.0828095,0.146119,0.972196
451.6,0.0830239,0.146552,0.970598
451.7,0.0832383,0.146984,0.968969
451.8,0.0834529,0.147417,0.967309
451.9,0.0836676,0.147849,0.965621
452.0,0.0838826,0.148281,0.963905
452.1,0.084098,0.148714,0.962164
452.2,0.0843136,0.149147,0.960398
452.3,0.0845297,0.14958,0.95861
452.4,0.0847463,0.150014,0.9568
452.5,0.0849635,0.150448,0.954971
452.6,0.0851813,0.150884,0.953122
452.7,0.0853997,0.15132,0.951257
452.8,0.0856189,0.151758,0.949376
452.9,0.0858389,0.152197,0.947481
453.0,0.0860598,0.152637,0.945573
453.1,0.0862817,0.153079,0.943653
453.2,0.0865045,0.153523,0.941723
453.3,0.0867285,0.153969,0.939784
453.4,0.0869536,0.154417,0.937838
453.5,0.0871799,0.154867,0.935886
453.6,0.0874075,0.155319,0.933929
453.7,0.0876364,0.155775,0.931968
453.8,0.0878668,0.156233,0.930005
453.9,0.0880987,0.156693,0.928041
454.0,0.0883322,0.157157,0.926078
454.1,0.0885674,0.157625,0.924116
454.2,0.0888042,0.158095,0.922157
454.3,0.0890429,0.158569,0.920202
454.4,0.0892834,0.159048,0.918253
454.5,0.0895259,0.15953,0.91631
454.6,0.0897704,0.160016,0.914375
454.7,0.0900171,0.160506,0.912448
454.8,0.0902659,0.161001,0.910532
454.9,0.090517,0.161501,0.908627
455.0,0.0907704,0.162006,0.906735
455.1,0.0910263,0.162516,0.904856
455.2,0.0912846,0.163031,0.90299
455.3,0.0915454,0.163551,0.901138
455.4,0.0918086,0.164076,0.899298
455.5,0.0920743,0.164606,0.89747
455.6,0.0923424,0.165141,0.895655
455.7,0.092613,0.165681,0.893851
455.8,0.0928861,0.166226,0.892059
455.9,0.0931616,0.166776,0.890279
456.0,0.0934397,0.167331,0.888509
456.1,0.0937202,0.167891,0.88675
456.2,0.0940032,0.168455,0.885001
456.3,0.0942887,0.169025,0.883262
456.4,0.0945767,0.169599,0.881533
456.5,0.0948672,0.170178,0.879814
456.6,0.0951603,0.170762,0.878104
456.7,0.0954558,0.17135,0.876404
456.8,0.0957539,0.171944,0.874712
456.9,0.0960546,0.172542,0.873028
